job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote_type,skills_list,skills_count,salary_outlier,salary_usd_trimmed
AI00001,AI Research Scientist,90376,Senior-Level,Contract,China,Medium (50-250),China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics,Hybrid,"['tableau', 'pytorch', 'kubernetes', 'linux', 'nlp']",5,False,90376.0
AI00002,AI Software Engineer,61895,Entry-Level,Contract,Canada,Medium (50-250),Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc,Fully Remote,"['deep learning', 'aws', 'mathematics', 'python', 'docker']",5,False,61895.0
AI00003,AI Specialist,152626,Mid-Level,Freelance,Switzerland,Large (>250),South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech,Onsite,"['kubernetes', 'deep learning', 'java', 'hadoop', 'nlp']",5,False,152626.0
AI00004,NLP Engineer,80215,Senior-Level,Freelance,India,Medium (50-250),India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems,Hybrid,"['scala', 'sql', 'linux', 'python']",4,False,80215.0
AI00005,AI Consultant,54624,Entry-Level,Part-Time,France,Small (<50),Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics,Fully Remote,"['mlops', 'java', 'tableau', 'python']",4,False,54624.0
AI00006,AI Architect,123574,Senior-Level,Contract,Germany,Medium (50-250),Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co,Hybrid,"['data visualization', 'r', 'sql', 'linux']",4,False,123574.0
AI00007,Principal Data Scientist,79670,Mid-Level,Freelance,United Kingdom,Small (<50),United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd,Onsite,"['r', 'docker', 'mlops']",3,False,79670.0
AI00008,NLP Engineer,70640,Entry-Level,Freelance,France,Large (>250),France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions,Onsite,"['python', 'sql', 'computer vision', 'java', 'azure']",5,False,70640.0
AI00009,Data Analyst,160710,Senior-Level,Contract,Singapore,Large (>250),Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc,Onsite,"['hadoop', 'git', 'mathematics', 'python']",4,False,160710.0
AI00010,AI Software Engineer,102557,Senior-Level,Part-Time,Austria,Medium (50-250),Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions,Onsite,"['mlops', 'gcp', 'scala', 'azure', 'linux']",5,False,102557.0
